"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
6.754423180E-1	-1.484405100E-1	-4.070143029E-2	9.941024780E0	9.942216296E0
6.774422180E-1	-1.173158810E-1	-2.873042040E-2	9.864410400E0	9.865149821E0
6.794417180E-1	-8.140286058E-2	-1.675941236E-2	9.802161217E0	9.802513546E0
6.814417180E-1	-3.591302410E-2	-2.394201700E-3	9.756670952E0	9.756737341E0
6.834417180E-1	1.915361360E-2	1.436521020E-2	9.730335236E0	9.730364691E0
6.854417180E-1	8.140286058E-2	3.112462163E-2	9.727940559E0	9.728330931E0
6.874400510E-1	1.412578970E-1	4.309562966E-2	9.737517357E0	9.738637241E0
6.894391840E-1	2.059013397E-1	5.267243832E-2	9.778219223E0	9.780528663E0
6.914382840E-1	2.633621991E-1	6.224924326E-2	9.828496933E0	9.832221854E0
6.934374170E-1	3.136404157E-1	6.943184882E-2	9.902717590E0	9.907926461E0
6.954373830E-1	3.543418646E-1	6.464344263E-2	9.993697166E0	1.000018600E1
6.974373490E-1	3.854664862E-1	5.746084079E-2	1.008228302E1	1.008981254E1
6.994373150E-1	4.022258818E-1	4.309562966E-2	1.017805099E1	1.018608683E1
7.014372810E-1	3.974374831E-1	2.394201607E-2	1.026903057E1	1.027674650E1
7.034372470E-1	3.830722570E-1	2.394201700E-3	1.035043335E1	1.035752000E1
7.054372470E-1	3.519476354E-1	-2.394201607E-2	1.043183613E1	1.043779888E1
7.074381130E-1	3.016694188E-1	-6.224924326E-2	1.050366211E1	1.050817763E1
7.094390130E-1	2.513911724E-1	-1.029506698E-1	1.056112289E1	1.056461609E1
7.114390460E-1	1.819593310E-1	-1.532289088E-1	1.059943008E1	1.060209915E1
7.134390790E-1	9.576806426E-2	-2.130839527E-1	1.061618996E1	1.061876007E1
7.154391120E-1	1.436521020E-2	-2.801215947E-1	1.062337208E1	1.062707433E1
7.174391450E-1	-6.943184882E-2	-3.423708379E-1	1.061379528E1	1.061954278E1
7.194391780E-1	-1.532289088E-1	-4.118026793E-1	1.059703636E1	1.060614163E1
7.214391780E-1	-2.274491638E-1	-4.764461517E-1	1.058027649E1	1.059344064E1
7.234391440E-1	-2.968810201E-1	-5.458779931E-1	1.055872917E1	1.057699782E1
7.254391100E-1	-3.543418646E-1	-6.129156351E-1	1.053957558E1	1.056332699E1
7.274382100E-1	-3.974374831E-1	-6.703764796E-1	1.052521038E1	1.055402363E1
7.294373100E-1	-4.237737060E-1	-7.254431248E-1	1.051084518E1	1.054436904E1
7.314364100E-1	-4.357447028E-1	-7.757213712E-1	1.050366211E1	1.054127766E1
7.334355100E-1	-4.429273009E-1	-8.188169599E-1	1.049887371E1	1.054006618E1
7.354345760E-1	-4.357447028E-1	-8.547300100E-1	1.049647999E1	1.054023382E1
7.374345760E-1	-4.213795066E-1	-8.882488012E-1	1.049647999E1	1.054242092E1
7.394345760E-1	-4.022258818E-1	-9.145850539E-1	1.049887371E1	1.054630744E1
7.414345760E-1	-3.806780577E-1	-9.337386489E-1	1.049887371E1	1.054718602E1
